date,state,demo_age_5_17,bio_age_5_17,age_5_17,gap_5_17
01-12-2025,Mizoram,12,140.0,0.0,12.0
01-12-2025,Nagaland,29,48.0,0.0,29.0
01-12-2025,ODISHA,0,0.0,0.0,0.0
01-12-2025,Odisha,1410,4375.0,0.0,1410.0
01-12-2025,Orissa,20,43.0,0.0,20.0
01-12-2025,Pondicherry,1,16.0,0.0,1.0
01-12-2025,Puducherry,8,85.0,0.0,8.0
01-12-2025,Punjab,147,2214.0,0.0,147.0
01-12-2025,Rajasthan,1235,11707.0,0.0,1235.0
01-12-2025,Sikkim,14,30.0,0.0,14.0
01-12-2025,Tamil Nadu,2691,18999.0,0.0,2691.0
01-12-2025,Telangana,1913,7782.0,0.0,1913.0
01-12-2025,Tripura,116,1003.0,0.0,116.0
01-12-2025,Uttar Pradesh,4452,52020.0,0.0,4452.0
01-12-2025,Uttarakhand,292,11271.0,0.0,292.0
01-12-2025,West Bangal,0,0.0,0.0,0.0
01-12-2025,West Bengal,1733,3787.0,0.0,1733.0
01-12-2025,West bengal,0,0.0,0.0,0.0
01-12-2025,andhra pradesh,0,0.0,0.0,0.0
02-09-2025,Andaman & Nicobar Islands,0,4.0,0.0,0.0
02-09-2025,Andaman and Nicobar Islands,8,84.0,1.0,7.0
02-09-2025,Andhra Pradesh,1640,5049.0,271.0,1369.0
02-09-2025,Arunachal Pradesh,127,205.0,42.0,85.0
02-09-2025,Assam,1332,3199.0,938.0,394.0
02-09-2025,Bihar,5219,6622.0,5005.0,214.0
02-09-2025,Chandigarh,56,104.0,1.0,55.0
02-09-2025,Chhattisgarh,866,1501.0,242.0,624.0
02-09-2025,Dadra & Nagar Haveli,2,1.0,0.0,2.0
02-09-2025,Dadra and Nagar Haveli,19,79.0,3.0,16.0
02-09-2025,Dadra and Nagar Haveli and Daman and Diu,4,4.0,0.0,4.0
02-09-2025,Daman & Diu,1,1.0,0.0,1.0
02-09-2025,Daman and Diu,2,8.0,0.0,2.0
02-09-2025,Delhi,692,1813.0,199.0,493.0
02-09-2025,Goa,28,95.0,8.0,20.0
02-09-2025,Gujarat,1609,5613.0,842.0,767.0
02-09-2025,Haryana,628,3476.0,78.0,550.0
02-09-2025,Himachal Pradesh,121,353.0,5.0,116.0
02-09-2025,Jammu & Kashmir,0,0.0,0.0,0.0
02-09-2025,Jammu and Kashmir,315,1326.0,108.0,207.0
02-09-2025,Jharkhand,1292,4489.0,941.0,351.0
02-09-2025,Karnataka,1469,5099.0,409.0,1060.0
02-09-2025,Kerala,760,3975.0,302.0,458.0
02-09-2025,Ladakh,4,2.0,3.0,1.0
02-09-2025,Lakshadweep,2,5.0,0.0,2.0
02-09-2025,Madhya Pradesh,1956,8737.0,1283.0,673.0
02-09-2025,Maharashtra,1470,14926.0,911.0,559.0
02-09-2025,Manipur,233,1058.0,112.0,121.0
02-09-2025,Meghalaya,91,130.0,176.0,-85.0
02-09-2025,Mizoram,39,383.0,13.0,26.0
02-09-2025,Nagaland,26,129.0,89.0,-63.0
02-09-2025,Odisha,932,6504.0,389.0,543.0
02-09-2025,Orissa,17,55.0,8.0,9.0
02-09-2025,Pondicherry,4,34.0,1.0,3.0
02-09-2025,Puducherry,26,160.0,2.0,24.0
02-09-2025,Punjab,253,1256.0,75.0,178.0
02-09-2025,Rajasthan,1371,5753.0,750.0,621.0
02-09-2025,Sikkim,31,17.0,16.0,15.0
02-09-2025,Tamil Nadu,2707,3359.0,300.0,2407.0
02-09-2025,Telangana,1659,3380.0,415.0,1244.0
02-09-2025,Tripura,175,316.0,87.0,88.0
02-09-2025,Uttar Pradesh,12473,18147.0,4687.0,7786.0
02-09-2025,Uttarakhand,208,785.0,30.0,178.0
02-09-2025,West  Bengal,0,0.0,0.0,0.0
02-09-2025,West Bangal,0,0.0,0.0,0.0
02-09-2025,West Bengal,4412,6548.0,1144.0,3268.0
02-09-2025,West bengal,0,0.0,0.0,0.0
02-09-2025,andhra pradesh,0,0.0,0.0,0.0
02-09-2025,odisha,0,0.0,0.0,0.0
02-09-2025,west Bengal,0,0.0,0.0,0.0
02-11-2025,Andaman & Nicobar Islands,0,0.0,0.0,0.0
02-11-2025,Andaman and Nicobar Islands,9,71.0,0.0,9.0
02-11-2025,Andhra Pradesh,4870,6800.0,287.0,4583.0
02-11-2025,Arunachal Pradesh,29,60.0,12.0,17.0
02-11-2025,Assam,379,2827.0,640.0,-261.0
02-11-2025,Bihar,2217,10019.0,3785.0,-1568.0
02-11-2025,Chandigarh,15,90.0,1.0,14.0
02-11-2025,Chhattisgarh,678,11258.0,417.0,261.0
02-11-2025,Dadra & Nagar Haveli,0,0.0,0.0,0.0
02-11-2025,Dadra and Nagar Haveli,7,5.0,0.0,7.0
02-11-2025,Dadra and Nagar Haveli and Daman and Diu,5,0.0,0.0,5.0
02-11-2025,Daman and Diu,2,1.0,1.0,1.0
02-11-2025,Delhi,404,1777.0,236.0,168.0
